,veg,scenario,sspx,Yieldmean,Yieldstd
0,rice,CR,ssp585,-4.716405599580973,22.77563072203259
1,maize,CR,ssp585,26.13588623768429,38.467875821538854
2,soybean,CR,ssp585,-12.098469753258636,8.54125827690838
