,veg,scenario,sspx,Yieldmean,Yieldstd
0,rice,optimized,ssp585,62.4554194498423,23.69464748962719
1,maize,optimized,ssp585,-31.613408096587232,23.28118215908109
2,soybean,optimized,ssp585,-27.870504231995113,15.801416485942475
