,veg,scenario,sspx,Yieldmean,Yieldstd
0,rice,optimized,ssp585,72.5880194379469,23.910600310236873
1,maize,optimized,ssp585,-23.50011500722521,26.192479695256708
2,soybean,optimized,ssp585,-1.171809892949349,17.054359275788027
