,time,rice,maize,soybean
0,2015,0.0,0.0,100.0
1,2016,71.07438016528926,2.6859504132231407,26.239669421487605
2,2017,5.578512396694215,2.272727272727273,92.14876033057851
3,2018,77.27272727272727,2.479338842975207,20.24793388429752
4,2019,74.17355371900827,2.272727272727273,23.553719008264462
5,2020,17.56198347107438,5.371900826446281,77.06611570247934
6,2021,19.214876033057852,0.4132231404958678,80.37190082644628
7,2022,4.338842975206612,13.016528925619836,82.64462809917356
8,2023,40.289256198347104,31.818181818181817,27.892561983471076
9,2024,56.81818181818182,0.0,43.18181818181818
10,2025,49.3801652892562,1.4462809917355373,49.17355371900827
11,2026,17.97520661157025,3.71900826446281,78.30578512396694
12,2027,0.2066115702479339,0.0,99.79338842975206
13,2028,92.14876033057851,0.0,7.851239669421488
14,2029,71.69421487603306,0.0,28.305785123966942
15,2030,80.99173553719008,2.066115702479339,16.94214876033058
16,2031,16.32231404958678,8.884297520661157,74.79338842975206
17,2032,2.8925619834710745,0.6198347107438017,96.48760330578511
18,2033,50.20661157024794,14.669421487603307,35.12396694214876
19,2034,34.090909090909086,0.8264462809917356,65.08264462809917
20,2035,55.371900826446286,0.0,44.62809917355372
21,2036,4.338842975206612,0.0,95.66115702479338
22,2037,53.925619834710744,0.6198347107438017,45.45454545454545
23,2038,70.66115702479338,0.0,29.338842975206614
24,2039,75.41322314049587,0.0,24.586776859504134
25,2040,92.56198347107438,0.2066115702479339,7.231404958677685
26,2041,73.7603305785124,0.0,26.239669421487605
27,2042,63.42975206611571,0.0,36.570247933884296
28,2043,46.074380165289256,0.2066115702479339,53.71900826446281
29,2044,34.50413223140496,0.0,65.49586776859503
30,2045,21.074380165289256,0.4132231404958678,78.51239669421489
31,2046,82.43801652892562,0.0,17.56198347107438
32,2047,91.11570247933885,0.0,8.884297520661157
33,2048,66.52892561983471,0.8264462809917356,32.64462809917356
34,2049,94.83471074380165,0.0,5.1652892561983474
35,2050,58.88429752066116,0.0,41.11570247933884
36,2051,13.223140495867769,2.066115702479339,84.71074380165288
37,2052,93.80165289256198,0.0,6.198347107438017
38,2053,63.22314049586777,0.0,36.77685950413223
39,2054,92.56198347107438,0.0,7.43801652892562
40,2055,52.27272727272727,1.4462809917355373,46.28099173553719
41,2056,53.51239669421488,0.0,46.48760330578512
42,2057,83.88429752066115,0.0,16.115702479338843
43,2058,73.96694214876032,0.0,26.033057851239672
44,2059,65.28925619834712,0.0,34.710743801652896
45,2060,34.917355371900825,0.0,65.08264462809917
46,2061,59.71074380165289,0.0,40.289256198347104
47,2062,89.25619834710744,0.2066115702479339,10.537190082644628
48,2063,15.289256198347106,0.0,84.71074380165288
49,2064,56.81818181818182,0.0,43.18181818181818
50,2065,67.97520661157024,0.0,32.02479338842975
51,2066,44.421487603305785,1.6528925619834711,53.925619834710744
52,2067,61.15702479338842,2.6859504132231407,36.15702479338843
53,2068,83.88429752066115,0.0,16.115702479338843
54,2069,15.495867768595042,0.4132231404958678,84.0909090909091
55,2070,30.785123966942145,0.4132231404958678,68.80165289256198
56,2071,46.28099173553719,0.0,53.71900826446281
57,2072,11.363636363636363,0.4132231404958678,88.22314049586777
58,2073,89.648033126294,1.2422360248447204,9.109730848861282
59,2074,57.02479338842975,0.0,42.97520661157025
60,2075,16.94214876033058,0.0,83.05785123966942
61,2076,39.87603305785124,0.0,60.12396694214877
62,2077,23.7603305785124,0.0,76.2396694214876
63,2078,35.12396694214876,0.0,64.87603305785123
64,2079,69.42148760330579,0.0,30.57851239669421
65,2080,27.479338842975203,0.0,72.52066115702479
66,2081,28.57142857142857,0.0,71.42857142857143
67,2082,90.70247933884298,0.0,9.297520661157025
68,2083,47.5206611570248,0.0,52.47933884297521
69,2084,49.3801652892562,0.0,50.6198347107438
70,2085,15.702479338842975,0.0,84.29752066115702
71,2086,25.206611570247933,0.0,74.79338842975206
72,2087,29.75206611570248,0.0,70.24793388429752
73,2088,75.20661157024794,0.0,24.793388429752067
74,2089,49.3801652892562,0.0,50.6198347107438
75,2090,16.32231404958678,0.0,83.67768595041323
76,2091,38.429752066115704,0.0,61.57024793388429
77,2092,16.94214876033058,0.0,83.05785123966942
78,2093,25.826446280991732,0.0,74.17355371900827
79,2094,32.438016528925615,0.0,67.56198347107438
80,2095,49.17355371900827,0.0,50.82644628099173
81,2096,35.53719008264463,0.0,64.46280991735537
82,2097,28.719008264462808,0.0,71.28099173553719
83,2098,45.45454545454545,0.0,54.54545454545454
84,2099,8.884297520661157,0.0,91.11570247933885
